fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241205.004254	1	26	1	-1	10000	137.396	137.396
20241205.004309	1	26	1	-1	10500	138.866	138.866
20241205.004322	1	26	1	-1	11000	135.366	135.366
20241205.004335	1	26	1	-1	11500	134.107	134.107
20241205.004348	1	26	1	-1	12000	130.397	130.397
20241205.004402	1	26	1	-1	10000	131.097	131.097
20241205.004414	1	26	1	-1	10500	132.637	132.637
20241205.004427	1	26	1	-1	11000	129.697	129.697
20241205.004440	1	26	1	-1	11500	126.197	126.197
20241205.004453	1	26	1	-1	12000	130.607	130.607
20241205.004506	1	26	1	-1	10000	136.976	136.976
20241205.004519	1	26	1	-1	10500	133.547	133.547
20241205.004532	1	26	1	-1	11000	132.147	132.147
20241205.004545	1	26	1	-1	11500	130.677	130.677
20241205.004559	1	26	1	-1	12000	130.047	130.047
20241205.004613	1	26	1	-1	10000	131.587	131.587
20241205.004625	1	26	1	-1	10500	135.576	135.576
20241205.004638	1	26	1	-1	11000	135.016	135.016
20241205.004651	1	26	1	-1	11500	131.797	131.797
20241205.004704	1	26	1	-1	12000	133.547	133.547
20241205.004709	1	26	4	-1	10000	134.264	134.264
20241205.004713	1	26	4	-1	10500	135.1565	135.1565
20241205.004717	1	26	4	-1	11000	133.0565	133.0565
20241205.004721	1	26	4	-1	11500	130.6945	130.6945
20241205.004725	1	26	4	-1	12000	131.1495	131.1495
