fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241113.201212	1	50	1	253811	13689	96917469.7651174	96917469.7651174
20241113.201220	1	50	1	643061	11715	101297608.695652	101297608.695652
20241113.201226	1	50	1	513481	11635	99460747.1264368	99460747.1264368
20241113.201231	1	50	1	291191	11030	99852148.9255372	99852148.9255372
20241113.201236	1	50	1	675929	10620	100370764.617691	100370764.617691
20241113.201242	1	50	1	793889	11439	101350348.325837	101350348.325837
20241113.201247	1	50	1	867991	11038	99620536.7316342	99620536.7316342
20241113.201252	1	50	1	700759	10838	101001366.316842	101001366.316842
20241113.201258	1	50	1	523489	11753	99387430.7846077	99387430.7846077
20241113.201303	1	50	1	853759	12455	100786094.452774	100786094.452774
20241113.201309	1	50	1	795913	11020	100007926.036982	100007926.036982
20241113.201314	1	50	1	625819	13895	98163245.8770615	98163245.8770615
20241113.201320	1	50	1	198827	12453	101012508.245877	101012508.245877
20241113.201325	1	50	1	276371	9971	98531835.5822089	98531835.5822089
20241113.201330	1	50	1	679051	11887	99693268.8655672	99693268.8655672
20241113.201336	1	50	1	964679	10700	101480129.935032	101480129.935032
20241113.201341	1	50	1	836071	11083	101326406.296852	101326406.296852
20241113.201346	1	50	1	830173	10928	99103180.4097951	99103180.4097951
20241113.201352	1	50	1	325777	11152	100408643.678161	100408643.678161
20241113.201357	1	50	1	906727	11930	99668070.9645177	99668070.9645177
20241113.201402	1	50	20	-1	11234	99675340.3298351	99675340.3298351
