fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241106.155128	1	40	1	253811	12506	100959289.355322	100959289.355322
20241106.155132	1	40	1	643061	12211	104059211.894053	104059211.894053
20241106.155136	1	40	1	513481	11096	102699634.182909	102699634.182909
20241106.155139	1	40	1	291191	10957	102543118.94053	102543118.94053
20241106.155223	1	40	1	675929	13020	100415822.088956	100415822.088956
20241106.155306	1	40	1	793889	11072	103793411.294353	103793411.294353
20241106.155349	1	40	1	867991	10397	102853903.548226	102853903.548226
20241106.155433	1	40	1	700759	11308	102085159.42029	102085159.42029
20241106.155516	1	40	1	523489	11661	102903494.752624	102903494.752624
20241106.155600	1	40	1	853759	10562	103085750.124938	103085750.124938
20241106.155643	1	40	1	795913	10631	101240531.234383	101240531.234383
20241106.155727	1	40	1	625819	11591	104835053.973013	104835053.973013
20241106.155810	1	40	1	198827	10511	104128687.156422	104128687.156422
20241106.155854	1	40	1	276371	10194	101540950.524738	101540950.524738
20241106.155937	1	40	1	679051	11087	101963213.893053	101963213.893053
20241106.160021	1	40	1	964679	12059	101175085.957021	101175085.957021
20241106.160104	1	40	1	836071	9911	103493544.727636	103493544.727636
20241106.160148	1	40	1	830173	8810	101397466.266867	101397466.266867
20241106.160231	1	40	1	325777	11498	103336028.985507	103336028.985507
20241106.160315	1	40	1	906727	11928	103058582.708646	103058582.708646
20241106.160358	1	40	20	-1	11149	102234111.444278	102234111.444278
