fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241111.050423	1	40	1	253811	10853	99587180.9095452	99587180.9095452
20241111.050428	1	40	1	643061	10664	101803494.252874	101803494.252874
20241111.050430	1	40	1	513481	12169	100706495.252374	100706495.252374
20241111.050434	1	40	1	291191	11904	100318696.651674	100318696.651674
20241111.050436	1	40	1	675929	13827	100671449.775112	100671449.775112
20241111.050439	1	40	1	793889	11812	103440717.641179	103440717.641179
20241111.050442	1	40	1	867991	11981	100993729.635182	100993729.635182
20241111.050445	1	40	1	700759	11625	101450447.276362	101450447.276362
20241111.050448	1	40	1	523489	14377	100031584.707646	100031584.707646
20241111.050451	1	40	1	853759	12970	100086601.69915	100086601.69915
20241111.050454	1	40	1	795913	11911	99999771.6141929	99999771.6141929
20241111.050456	1	40	1	625819	13261	101935738.630685	101935738.630685
20241111.050459	1	40	1	198827	11158	99971201.3993004	99971201.3993004
20241111.050502	1	40	1	276371	12960	98608555.7221389	98608555.7221389
20241111.050505	1	40	1	679051	11956	101455026.486757	101455026.486757
20241111.050507	1	40	1	964679	13213	102306721.13943	102306721.13943
20241111.050510	1	40	1	836071	12699	101142342.328836	101142342.328836
20241111.050513	1	40	1	830173	13228	100663750.124938	100663750.124938
20241111.050516	1	40	1	325777	12238	99248042.9785107	99248042.9785107
20241111.050519	1	40	1	906727	14260	102143258.370815	102143258.370815
20241111.050521	1	40	20	-1	12071	100433512.743628	100433512.743628
