fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241109.002516	1	48	1	253811	11064	98425583.2083958	98425583.2083958
20241109.002611	1	48	1	643061	10702	98773036.4817591	98773036.4817591
20241109.002654	1	48	1	513481	14161	100388042.478761	100388042.478761
20241109.002738	1	48	1	291191	12701	99363824.5877061	99363824.5877061
20241109.002821	1	48	1	675929	10618	98270421.7891054	98270421.7891054
20241109.002905	1	48	1	793889	13256	99105531.2343828	99105531.2343828
20241109.002948	1	48	1	867991	15183	100683917.541229	100683917.541229
20241109.003032	1	48	1	700759	11240	97283558.2208896	97283558.2208896
20241109.003115	1	48	1	523489	13068	96948747.6261869	96948747.6261869
20241109.003159	1	48	1	853759	10884	98270330.8345827	98270330.8345827
20241109.003242	1	48	1	795913	10428	99437963.0184908	99437963.0184908
20241109.003326	1	48	1	625819	11399	97796265.3673163	97796265.3673163
20241109.003410	1	48	1	198827	13200	99217531.2343828	99217531.2343828
20241109.003453	1	48	1	276371	13519	99640963.0184908	99640963.0184908
20241109.003537	1	48	1	679051	13113	101313987.506247	101313987.506247
20241109.003621	1	48	1	964679	10304	98480575.7121439	98480575.7121439
20241109.003704	1	48	1	836071	13854	99416602.6986507	99416602.6986507
20241109.003748	1	48	1	830173	13518	99562605.6971514	99562605.6971514
20241109.003832	1	48	1	325777	10577	98173873.5632184	98173873.5632184
20241109.003915	1	48	1	906727	13792	100199448.275862	100199448.275862
20241109.003958	1	48	20	-1	13493	98277225.8870565	98277225.8870565
