fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241113.141139	1	33	1	253811	13383	98794862.0689655	98794862.0689655
20241113.141142	1	33	1	643061	13023	97680879.0604698	97680879.0604698
20241113.141145	1	33	1	513481	13863	100157500.749625	100157500.749625
20241113.141147	1	33	1	291191	13011	101302730.134933	101302730.134933
20241113.141150	1	33	1	675929	11789	100129913.543228	100129913.543228
20241113.141152	1	33	1	793889	13150	102228300.849575	102228300.849575
20241113.141154	1	33	1	867991	13166	99653252.3738131	99653252.3738131
20241113.141157	1	33	1	700759	13848	99664159.92004	99664159.92004
20241113.141159	1	33	1	523489	13001	98096688.155922	98096688.155922
20241113.141202	1	33	1	853759	13274	97864008.9955022	97864008.9955022
20241113.141204	1	33	1	795913	12457	97677681.6591704	97677681.6591704
20241113.141206	1	33	1	625819	12878	99116368.8155922	99116368.8155922
20241113.141209	1	33	1	198827	13694	99175783.1084458	99175783.1084458
20241113.141211	1	33	1	276371	12852	99660507.7461269	99660507.7461269
20241113.141213	1	33	1	679051	13283	99243827.5862069	99243827.5862069
20241113.141216	1	33	1	964679	14184	98078276.8615692	98078276.8615692
20241113.141218	1	33	1	836071	12591	98953234.8825587	98953234.8825587
20241113.141221	1	33	1	830173	13116	98547700.149925	98547700.149925
20241113.141223	1	33	1	325777	11505	98825499.7501249	98825499.7501249
20241113.141226	1	33	1	906727	13671	102809706.646677	102809706.646677
20241113.141228	1	33	20	-1	13138	99167240.3798101	99167240.3798101
