fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241114.144414	1	45	1	253811	13065	101069837.581209	101069837.581209
20241114.144423	1	45	1	643061	11169	102203326.836582	102203326.836582
20241114.144428	1	45	1	513481	13014	100425218.390805	100425218.390805
20241114.144434	1	45	1	291191	13320	100443178.410795	100443178.410795
20241114.144439	1	45	1	675929	10267	101138256.371814	101138256.371814
20241114.144444	1	45	1	793889	14447	99160695.1524238	99160695.1524238
20241114.144450	1	45	1	867991	10901	101159826.586707	101159826.586707
20241114.144455	1	45	1	700759	13344	101074738.630685	101074738.630685
20241114.144500	1	45	1	523489	11539	100234476.261869	100234476.261869
20241114.144506	1	45	1	853759	11131	100571595.702149	100571595.702149
20241114.144511	1	45	1	795913	10107	98372539.2303848	98372539.2303848
20241114.144516	1	45	1	625819	12524	101082504.747626	101082504.747626
20241114.144522	1	45	1	198827	12249	100087444.777611	100087444.777611
20241114.144527	1	45	1	276371	13654	100195033.483258	100195033.483258
20241114.144533	1	45	1	679051	11423	100912703.148426	100912703.148426
20241114.144538	1	45	1	964679	11992	101470292.853573	101470292.853573
20241114.144543	1	45	1	836071	13194	99865708.145927	99865708.145927
20241114.144549	1	45	1	830173	13619	99834276.3618191	99834276.3618191
20241114.144554	1	45	1	325777	11503	101528955.022489	101528955.022489
20241114.144559	1	45	1	906727	14316	101183282.358821	101183282.358821
20241114.144604	1	45	20	-1	13113	99978376.3118441	99978376.3118441
