fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241112.215057	1	36	1	253811	12720	95368335.832084	95368335.832084
20241112.215113	1	36	1	643061	12353	93896856.071964	93896856.071964
20241112.215119	1	36	1	513481	11293	95191838.5807097	95191838.5807097
20241112.215126	1	36	1	291191	13495	95297758.6206897	95297758.6206897
20241112.215132	1	36	1	675929	15069	93998459.2703648	93998459.2703648
20241112.215139	1	36	1	793889	13729	95699658.6706647	95699658.6706647
20241112.215145	1	36	1	867991	14366	95055291.3543228	95055291.3543228
20241112.215151	1	36	1	700759	11138	96516958.5207396	96516958.5207396
20241112.215158	1	36	1	523489	13821	94301155.922039	94301155.922039
20241112.215204	1	36	1	853759	13251	95239561.7191404	95239561.7191404
20241112.215216	1	36	1	795913	13451	95503329.8350825	95503329.8350825
20241112.215224	1	36	1	625819	11128	93891066.4667666	93891066.4667666
20241112.215230	1	36	1	198827	11737	95222049.4752624	95222049.4752624
20241112.215237	1	36	1	276371	11469	94146785.1074463	94146785.1074463
20241112.215243	1	36	1	679051	13289	97069713.6431784	97069713.6431784
20241112.215249	1	36	1	964679	13454	94893784.107946	94893784.107946
20241112.215256	1	36	1	836071	11322	96197554.2228886	96197554.2228886
20241112.215302	1	36	1	830173	11929	95010083.4582709	95010083.4582709
20241112.215309	1	36	1	325777	14038	95114089.9550225	95114089.9550225
20241112.215315	1	36	1	906727	10664	94286032.9835082	94286032.9835082
20241112.215321	1	36	20	-1	12272	94629743.1284358	94629743.1284358
