fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241107.154611	1	36	1	253811	12218	89478057.9710145	89478057.9710145
20241107.154615	1	36	1	643061	13382	90699773.1134433	90699773.1134433
20241107.154617	1	36	1	513481	14684	89644063.968016	89644063.968016
20241107.154620	1	36	1	291191	12269	88658029.4852574	88658029.4852574
20241107.154623	1	36	1	675929	13276	90571828.085957	90571828.085957
20241107.154625	1	36	1	793889	13583	89869564.7176412	89869564.7176412
20241107.154628	1	36	1	867991	11211	89160721.1394303	89160721.1394303
20241107.154630	1	36	1	700759	11921	91938367.3163418	91938367.3163418
20241107.154633	1	36	1	523489	12919	92180733.1334333	92180733.1334333
20241107.154636	1	36	1	853759	12281	91249351.824088	91249351.824088
20241107.154638	1	36	1	795913	14102	89976614.6926537	89976614.6926537
20241107.154641	1	36	1	625819	11309	89464306.3468266	89464306.3468266
20241107.154644	1	36	1	198827	13655	89210942.0289855	89210942.0289855
20241107.154646	1	36	1	276371	13833	89640884.057971	89640884.057971
20241107.154649	1	36	1	679051	12852	92046354.8225887	92046354.8225887
20241107.154652	1	36	1	964679	11719	90016715.1424288	90016715.1424288
20241107.154655	1	36	1	836071	11828	90353705.1474263	90353705.1474263
20241107.154657	1	36	1	830173	12278	90482545.7271364	90482545.7271364
20241107.154700	1	36	1	325777	11736	91523142.4287856	91523142.4287856
20241107.154702	1	36	1	906727	11852	91625865.0674663	91625865.0674663
20241107.154704	1	36	20	-1	12308	89908860.5697151	89908860.5697151
